# Table S1: Gene classification by oscillatory temporal role for 72 CGC-analysed genes across 14 pathways.
# Note: Pathway totals (80 rise, 77 recovery = 157 genes) from pathway_summary.csv include additional genes
# not individually listed here. This table contains the 72 genes with individual CGC annotation data.
gene,pathway,temporal_role,cgc_status,mutation_type,coupled,anti_coupled,pathway_type
RELA,NF-κB,rise,oncogene,GoF,True,False,promoting
NFKB2,NF-κB,rise,oncogene,GoF,True,False,promoting
REL,NF-κB,rise,oncogene,GoF,True,False,promoting
IKBKB,NF-κB,rise,not_in_CGC,GoF,False,False,promoting
NFKBIA,NF-κB,recovery,TSG,LoF,True,False,promoting
TNFAIP3,NF-κB,recovery,TSG,LoF,True,False,promoting
CYLD,NF-κB,recovery,TSG,LoF,True,False,promoting
TP53,p53,rise,TSG,LoF,False,True,inhibitory
ATM,p53,rise,TSG,LoF,False,True,inhibitory
ATR,p53,rise,not_in_CGC,LoF,False,False,inhibitory
CHEK2,p53,rise,TSG,LoF,False,True,inhibitory
MDM2,p53,recovery,oncogene,GoF,False,True,inhibitory
MDM4,p53,recovery,oncogene,GoF,False,True,inhibitory
PPM1D,p53,recovery,oncogene,GoF,False,True,inhibitory
KRAS,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
NRAS,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
HRAS,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
BRAF,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
RAF1,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
MAP2K1,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
MAP2K2,ERK/MAPK,rise,oncogene,GoF,True,False,promoting
DUSP4,ERK/MAPK,recovery,not_in_CGC,LoF,False,False,promoting
DUSP6,ERK/MAPK,recovery,not_in_CGC,LoF,False,False,promoting
SPRY2,ERK/MAPK,recovery,not_in_CGC,LoF,False,False,promoting
NF1,ERK/MAPK,recovery,TSG,LoF,True,False,promoting
RASA1,ERK/MAPK,recovery,not_in_CGC,LoF,False,False,promoting
CTNNB1,Wnt,rise,oncogene,GoF,True,False,promoting
APC,Wnt,recovery,TSG,LoF,True,False,promoting
AXIN1,Wnt,recovery,TSG,LoF,True,False,promoting
AXIN2,Wnt,recovery,not_in_CGC,LoF,False,False,promoting
GSK3B,Wnt,recovery,not_in_CGC,LoF,False,False,promoting
RNF43,Wnt,recovery,TSG,LoF,True,False,promoting
ZNRF3,Wnt,recovery,TSG,LoF,True,False,promoting
NOTCH1,Notch,rise,both,Both,True,False,promoting
NOTCH2,Notch,rise,both,GoF,True,False,promoting
NOTCH3,Notch,rise,oncogene,GoF,True,False,promoting
FBXW7,Notch,recovery,TSG,LoF,True,False,promoting
YAP1,Hippo,rise,oncogene,GoF,True,False,promoting
LATS1,Hippo,recovery,TSG,LoF,True,False,promoting
LATS2,Hippo,recovery,TSG,LoF,True,False,promoting
STK3,Hippo,recovery,not_in_CGC,LoF,False,False,promoting
NF2,Hippo,recovery,TSG,LoF,True,False,promoting
MTOR,mTOR,rise,oncogene,GoF,True,False,promoting
RHEB,mTOR,rise,oncogene,GoF,True,False,promoting
AKT1,mTOR,rise,oncogene,GoF,True,False,promoting
AKT2,mTOR,rise,oncogene,GoF,True,False,promoting
PIK3CA,mTOR,rise,oncogene,GoF,True,False,promoting
PIK3R1,mTOR,rise,TSG,LoF,False,True,promoting
TSC1,mTOR,recovery,TSG,LoF,True,False,promoting
TSC2,mTOR,recovery,TSG,LoF,True,False,promoting
PTEN,mTOR,recovery,TSG,LoF,True,False,promoting
STK11,mTOR,recovery,TSG,LoF,True,False,promoting
JAK1,JAK/STAT,rise,oncogene,GoF,True,False,promoting
JAK2,JAK/STAT,rise,oncogene,GoF,True,False,promoting
JAK3,JAK/STAT,rise,oncogene,GoF,True,False,promoting
STAT3,JAK/STAT,rise,oncogene,GoF,True,False,promoting
STAT5B,JAK/STAT,rise,oncogene,GoF,True,False,promoting
SOCS1,JAK/STAT,recovery,TSG,LoF,True,False,promoting
PTPN6,JAK/STAT,recovery,TSG,LoF,True,False,promoting
TGFBR2,TGF-β,rise,TSG,LoF,False,True,inhibitory
SMAD2,TGF-β,rise,TSG,LoF,False,True,inhibitory
SMAD4,TGF-β,rise,TSG,LoF,False,True,inhibitory
SKI,TGF-β,recovery,oncogene,GoF,False,True,inhibitory
SKIL,TGF-β,recovery,oncogene,GoF,False,True,inhibitory
NFE2L2,NRF2/Oxidative,rise,oncogene,GoF,True,False,promoting
KEAP1,NRF2/Oxidative,recovery,TSG,LoF,True,False,promoting
CUL3,NRF2/Oxidative,recovery,TSG,LoF,True,False,promoting
SMO,Hedgehog,rise,oncogene,GoF,True,False,promoting
GLI1,Hedgehog,rise,oncogene,GoF,True,False,promoting
GLI2,Hedgehog,rise,oncogene,GoF,True,False,promoting
PTCH1,Hedgehog,recovery,TSG,LoF,True,False,promoting
SUFU,Hedgehog,recovery,TSG,LoF,True,False,promoting
